,param_id,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values
,param_id,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_20,conc_21,conc_22,Hill_coef,IC50,Vhalf,Kmax,Ku,n,halfmax
0,99,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,1.002990557,0.007135719,-199.5,297.5411502,0.2816,1,1
0,100,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.894450059,0.006753884,-199.5,694.9878865,1.79E-05,1,1
0,101,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.794199159,0.013787921,-199.5,694.9878865,2.98E-05,1,1
0,102,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.703311252,0.028287916,-199.5,694.9878865,4.95E-05,1,1
0,103,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.662322756,0.045717732,-199.5,694.9878865,8.23E-05,1,1
0,104,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.67946985,0.054474826,-199.5,694.9878865,0.000136894,1,1
0,105,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.734638811,0.05021138,-199.5,694.9878865,0.000227651,1,1
0,106,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.790621271,0.039846157,-199.5,694.9878865,0.000378575,1,1
0,107,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.824507235,0.029921271,-199.5,694.9878865,0.000629557,1,1
0,108,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.843020334,0.021768381,-199.5,694.9878865,0.001046931,1,1
0,109,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.86066534,0.015218762,-199.5,694.9878865,0.00174101,1,1
0,110,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.885836901,0.010186831,-199.5,694.9878865,0.002895239,1,1
0,111,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.921693903,0.00659946,-199.5,694.9878865,0.004814681,1,1
0,112,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.96180644,0.004410886,-199.5,694.9878865,0.008006647,1,1
0,113,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.991052179,0.003377082,-199.5,694.9878865,0.013314775,1,1
0,114,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,1.001685828,0.003090742,-199.5,694.9878865,0.022142006,1,1
0,115,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,1.002210476,0.003077814,-199.5,694.9878865,0.036821383,1,1
0,116,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,1.002144851,0.003078768,-199.5,694.9878865,0.061232676,1,1
0,117,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,1.002058993,0.003080331,-199.5,694.9878865,0.101827803,1,1
0,118,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,1.001995594,0.003081508,-199.5,694.9878865,0.169336084,1,1
0,119,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,1.001986591,0.003081767,-199.5,694.9878865,0.2816,1,1
0,120,0,3.16E-05,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,0.852501207,0.004405821,-199.5,1623.332309,1.79E-05,1,1
